<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.01.02	1.35620	1.35790	1.35580	1.35780	217	0	30
2005.01.03	1.35790	1.35810	1.33850	1.34650	9784	0	30
2005.01.04	1.34660	1.34970	1.32480	1.32790	9961	0	30
2005.01.05	1.32770	1.33040	1.32130	1.32780	9839	0	30
2005.01.06	1.32770	1.32800	1.31540	1.31820	9855	0	30
2005.01.07	1.31820	1.32520	1.30240	1.30720	9581	0	30
2005.01.09	1.30580	1.30750	1.30520	1.30750	278	0	30
2005.01.10	1.30730	1.31260	1.30570	1.31070	9016	0	30
2005.01.11	1.31080	1.31720	1.31000	1.31150	9320	0	30
2005.01.12	1.31150	1.32940	1.30820	1.32580	9227	0	30
2005.01.13	1.32570	1.32690	1.31930	1.32080	9083	0	30
2005.01.14	1.32070	1.32120	1.30550	1.30950	9840	0	30
2005.01.16	1.31090	1.31110	1.30960	1.30980	268	0	30
2005.01.17	1.30970	1.31290	1.30360	1.30460	7838	0	30
2005.01.18	1.30470	1.30770	1.29930	1.30160	9187	0	30
2005.01.19	1.30150	1.31200	1.29630	1.29980	9333	0	30
2005.01.20	1.29980	1.30260	1.29220	1.29600	9663	0	30
2005.01.21	1.29610	1.30690	1.29320	1.30080	9350	0	30
2005.01.23	1.30460	1.30500	1.30380	1.30390	303	0	30
2005.01.24	1.30400	1.31020	1.30290	1.30390	9092	0	30
2005.01.25	1.30380	1.30780	1.29450	1.29690	9232	0	30
2005.01.26	1.29680	1.31110	1.29650	1.30750	9429	0	30
2005.01.27	1.30750	1.31260	1.30100	1.30400	9600	0	30
2005.01.28	1.30400	1.30830	1.29850	1.30560	9015	0	30
2005.01.30	1.30120	1.30250	1.30120	1.30210	272	0	30
2005.01.31	1.30220	1.30610	1.29740	1.30480	9216	0	30
2005.02.01	1.30490	1.30690	1.29990	1.30460	9739	0	30
2005.02.02	1.30430	1.30980	1.30080	1.30310	9679	0	30
2005.02.03	1.30320	1.30390	1.29390	1.29720	9276	0	30
2005.02.04	1.29710	1.30440	1.28640	1.28640	9024	0	30
2005.02.06	1.28550	1.28610	1.28510	1.28540	246	0	30
2005.02.07	1.28540	1.28660	1.27320	1.27630	9329	0	30
2005.02.08	1.27680	1.27990	1.27320	1.27710	9329	0	30
2005.02.09	1.27690	1.28190	1.27380	1.28110	9171	0	30
2005.02.10	1.28110	1.29090	1.27380	1.28760	9652	0	30
2005.02.11	1.28760	1.28980	1.28440	1.28650	8384	0	30
2005.02.13	1.28810	1.28900	1.28770	1.28870	278	0	30
2005.02.14	1.28870	1.29920	1.28800	1.29730	8705	0	30
2005.02.15	1.29720	1.30540	1.29520	1.30140	9319	0	30
2005.02.16	1.30130	1.30660	1.29590	1.30220	9601	0	30
2005.02.17	1.30210	1.30910	1.30140	1.30730	8691	0	30
2005.02.18	1.30740	1.30850	1.30140	1.30640	8257	0	30
2005.02.20	1.30520	1.30710	1.30520	1.30670	242	0	30
2005.02.21	1.30700	1.30810	1.30310	1.30630	7725	0	30
2005.02.22	1.30620	1.32710	1.30550	1.32600	9721	0	30
2005.02.23	1.32610	1.32760	1.31850	1.32010	9587	0	30
2005.02.24	1.32010	1.32720	1.31760	1.31830	9431	0	30
2005.02.25	1.31830	1.32520	1.31450	1.32430	8887	0	30
2005.02.27	1.32380	1.32540	1.32310	1.32480	307	0	30
2005.02.28	1.32510	1.32800	1.32080	1.32160	9075	0	30
2005.03.01	1.32160	1.32280	1.31630	1.31690	9173	0	30
2005.03.02	1.31690	1.31800	1.30870	1.31350	9203	0	30
2005.03.03	1.31340	1.31670	1.30970	1.31030	8880	0	30
2005.03.04	1.31030	1.32560	1.30950	1.32410	8701	0	30
2005.03.06	1.32360	1.32460	1.32320	1.32390	256	0	30
2005.03.07	1.32380	1.32490	1.31770	1.32180	8439	0	30
2005.03.08	1.32170	1.33640	1.32080	1.33470	8826	0	30
2005.03.09	1.33460	1.34260	1.33290	1.33760	9764	0	30
2005.03.10	1.33770	1.34570	1.33700	1.34380	10037	0	30
2005.03.11	1.34380	1.34830	1.33910	1.34580	9512	0	30
2005.03.13	1.34630	1.34770	1.34600	1.34720	249	0	30
2005.03.14	1.34730	1.34790	1.33350	1.33620	9051	0	30
2005.03.15	1.33630	1.34120	1.32960	1.33100	9646	0	30
2005.03.16	1.33090	1.34420	1.32900	1.34110	9520	0	30
2005.03.17	1.34090	1.34230	1.33410	1.33780	9385	0	30
2005.03.18	1.33790	1.33890	1.32650	1.33210	8555	0	30
2005.03.20	1.33100	1.33170	1.33080	1.33130	245	0	30
2005.03.21	1.33150	1.33180	1.31400	1.31580	9314	0	30
2005.03.22	1.31590	1.32210	1.30540	1.30760	9621	0	30
2005.03.23	1.30750	1.30890	1.29600	1.29890	9578	0	30
2005.03.24	1.29900	1.30350	1.29280	1.29300	9160	0	30
2005.03.25	1.29290	1.29720	1.29290	1.29560	6262	0	30
2005.03.27	1.29620	1.29640	1.29540	1.29560	121	0	30
