<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.11.06	37786	37786	35387	36362	219179	3486281198	0
2008.11.07	36362	37716	36297	36665	185723	3072305392	0
2008.11.10	36672	38725	36298	36776	187100	3012000876	0
2008.11.11	36775	37629	35499	37262	187711	2921651622	0
2008.11.12	37261	37261	34221	34374	258258	4487288217	0
2008.11.13	34374	36244	33645	35993	242295	3478453816	0
2008.11.14	36003	36697	35016	35789	162621	2711375744	0
2008.11.17	35777	36373	34427	35717	159552	2472632627	0
2008.11.18	35698	35698	33882	34095	191011	2735046359	0
2008.11.19	34098	34786	33275	33405	174110	2428708874	0
2008.11.21	33403	33403	31081	31251	228858	3244615806	0
2008.11.24	31255	34382	31255	34189	203511	3105850720	0
2008.11.25	34189	35532	33620	34813	195703	3145583672	0
2008.11.26	34814	36877	34319	36470	237613	3606376152	0
2008.11.27	36470	36817	36114	36213	100277	1444784425	0
2008.11.28	36216	37217	35944	36596	175548	2703420369	0
2008.12.01	36596	36596	34396	34741	161215	2348000648	0
2008.12.02	34743	35734	34743	35001	159227	2651118855	0
2008.12.03	35001	35476	33798	35297	176584	2858950982	0
2008.12.04	35311	35944	35128	35128	159114	2203842743	0
2008.12.05	35125	35435	34013	35347	201152	3104774174	0
2008.12.08	35347	38426	35347	38285	279667	4219289132	0
2008.12.09	38285	38863	37653	37968	199923	3546675602	0
2008.12.10	37972	39748	37972	39004	222062	4112283196	0
2008.12.11	39009	39880	38519	38519	214845	3678633554	0
2008.12.12	38517	39374	37014	39374	170077	3039026407	0
2008.12.15	39368	39735	38320	38320	157965	2806828606	0
2008.12.16	38324	39993	38324	39993	152154	2740642169	0
2008.12.17	39993	40361	39121	39947	313027	4586385495	0
2008.12.18	39947	40498	38995	39536	175968	3145369774	0
2008.12.19	39535	39785	38728	39131	153796	2553036197	0
2008.12.22	39140	39452	37478	37619	142406	2108720069	0
2008.12.23	37617	38005	36452	36471	123238	1654288377	0
2008.12.26	36470	37136	36334	36864	67242	846949027	0
2008.12.29	36864	37631	36638	37060	121145	1548611062	0
2008.12.30	37070	37783	37065	37550	100868	2271136048	0
2009.01.02	37550	40265	37550	40244	121390	1933479799	0
2009.01.05	40243	41889	39526	41519	197092	3468097037	0
2009.01.06	41520	42363	41520	42312	178807	3463128725	0
2009.01.07	42308	42308	40563	40820	143293	2488497915	0
2009.01.08	40819	41991	40251	41991	163386	2837521360	0
2009.01.09	41992	42525	41181	41583	174545	2968718093	0
2009.01.12	41585	41585	39345	39403	179488	2900800126	0
2009.01.13	39397	40323	38623	39544	196190	3115763379	0
2009.01.14	39537	39570	37658	37982	211632	3811869745	0
2009.01.15	37993	39197	36806	39151	224950	3547123877	0
2009.01.16	39149	39904	38578	39342	185441	3013123848	0
2009.01.19	39351	39570	38700	38828	93925	1364485893	0
2009.01.20	38828	39174	37272	37272	177421	2490765704	0
2009.01.21	37279	38543	37279	38543	185554	2809010142	0
2009.01.22	38543	38845	37255	37894	188632	3079400393	0
2009.01.23	37891	38660	36744	38132	173867	2689293190	0
2009.01.26	38130	39065	37831	38509	162117	2606723736	0
2009.01.27	38511	39025	38422	38699	145537	2672338102	0
2009.01.28	38704	40438	38704	40227	198950	4050513352	0
2009.01.29	40229	40972	39369	39638	144275	2305084839	0
2009.01.30	39637	40273	39185	39301	162452	2609426317	0
2009.02.02	39296	39364	38453	38666	140212	2172915179	0
2009.02.03	38665	39765	38655	39747	163433	2751566156	0
2009.02.04	39746	41490	39746	40129	252563	4774388978	0
2009.02.05	40120	41373	39791	41109	198609	3687809287	0
2009.02.06	41110	42873	41110	42756	251569	4632633545	0
2009.02.09	42755	43441	41977	42100	191396	3626202744	0
2009.02.10	42101	42819	40960	41207	218034	4591423858	0
2009.02.11	41207	42032	40286	40846	169467	3166898979	0
2009.02.12	40827	41082	39992	40501	154345	3114482973	0
2009.02.13	40512	41833	40512	41674	143012	2837589147	0
2009.02.16	41672	41841	41026	41841	77405	2252637688	0
2009.02.17	41838	41838	39817	39847	178507	3661458702	0
2009.02.18	39848	40434	39209	39674	210187	3345089260	0
2009.02.19	39675	40433	39630	39730	146773	2420714526	0
2009.02.20	39725	39725	38103	38715	207656	3566496918	0
2009.02.25	38712	38933	37694	38282	158183	2343086195	0
2009.02.26	38234	39219	38180	38180	173918	2897267509	0
2009.02.27	38178	38801	37324	38183	192684	3287045119	0
2009.03.02	38180	38180	36196	36235	221881	3340847815	0
2009.03.03	36236	37085	35722	36468	215116	3309250241	0
2009.03.04	36468	38554	36468	38402	222502	3951817511	0
2009.03.05	38391	38391	36973	37369	160568	2883374122	0
2009.03.06	37367	38309	36476	37105	169653	3226287013	0
2009.03.09	37103	37464	36392	36741	137106	2288169608	0
2009.03.10	36745	38804	36745	38795	211081	3780299607	0
2009.03.11	38795	39310	38238	38805	172568	2936523979	0
2009.03.12	38806	39304	38286	39152	193679	3511450005	0
2009.03.13	39152	39707	38580	39015	172235	3058524149	0
2009.03.16	39018	39713	38467	38607	165859	3086736665	0
2009.03.17	38608	39511	38080	39511	170435	2871374622	0
2009.03.18	39508	40551	38850	40142	200817	3659382438	0
2009.03.19	40146	41137	40146	40453	217951	4136983596	0
2009.03.20	40453	41053	40076	40076	171203	3010292964	0
2009.03.23	40077	42509	40077	42439	239913	4090686918	0
2009.03.24	42439	42439	41476	41476	204383	3475983014	0
2009.03.25	41478	42623	41114	41799	220902	3928225682	0
2009.03.26	41801	42680	41801	42589	183856	3310276798	0
2009.03.27	42589	42589	41586	41907	147591	2665619834	0
2009.03.30	41909	41909	40351	40653	211396	3118659144	0
2009.03.31	40661	41610	40661	40926	178378	3370307211	0
2009.04.01	40918	42005	40256	41976	186896	3571686077	0
2009.04.02	41977	44286	41977	43736	255623	4947021461	0
2009.04.03	43738	44610	43520	44391	187576	4060151430	0
2009.04.06	44385	44385	43429	44167	137328	3084039052	0
2009.04.07	44163	44471	43593	43825	186155	3439455730	0
2009.04.08	43828	44390	43706	44182	181325	3940359977	0
2009.04.09	44183	45702	44183	45539	215342	4273358821	0
2009.04.13	45536	46179	45226	45992	164058	3472825535	0
2009.04.14	45989	46591	45284	45418	215895	4536180691	0
2009.04.15	45420	45453	44811	45273	194959	3941886743	0
2009.04.16	45277	46211	45277	46025	197095	4131621993	0
2009.04.17	46018	46187	45723	45778	171085	3280889900	0
2009.04.20	45778	45778	44275	44433	156507	2817100633	0
2009.04.22	44434	45369	44434	44888	207329	3327799772	0
2009.04.23	44888	45804	44888	45801	174436	3064871744	0
2009.04.24	45801	46946	45801	46772	201045	3359465581	0
2009.04.27	46772	46772	45662	45820	202766	3420212241	0
2009.04.28	45819	46138	44966	45821	201208	3571705048	0
2009.04.29	45825	47410	45825	47227	221187	4184705034	0
2009.04.30	47235	48126	47213	47290	222851	4461284176	0
2009.05.04	47290	50405	47290	50397	280827	5970920249	0
2009.05.05	50404	50909	50013	50670	216731	4619572029	0
2009.05.06	50675	52096	50672	51499	273099	6170406685	0
2009.05.07	51499	52079	49743	50058	266871	5089176205	0
2009.05.08	50066	51396	50051	51396	213879	4041207609	0
2009.05.11	51389	51389	50060	50976	168855	3312270601	0
2009.05.12	50980	51565	49808	50326	219649	4312715579	0
2009.05.13	50317	50317	48430	48679	221304	4021509056	0
2009.05.14	48671	49461	48284	49446	193927	3349611324	0
2009.05.15	49447	49552	48796	49007	180417	3344796467	0
2009.05.18	49012	51490	49012	51463	203173	4275129731	0
2009.05.19	51465	52145	50987	51347	227121	4657472331	0
2009.05.20	51349	52640	51143	51245	235085	5059811735	0
2009.05.21	51244	51244	49565	50090	215409	3878748653	0
2009.05.22	50089	50893	49989	50568	177337	2945136513	0
2009.05.25	50558	50969	50558	50816	67147	1041103935	0
2009.05.26	50817	51934	50074	51841	220937	3751702789	0
2009.05.27	51840	53092	51637	51792	246834	4337376356	0
2009.05.28	51795	53033	51795	53033	236512	4019676452	0
2009.05.29	53047	53806	52432	53198	301863	7063779816	0
2009.06.01	53202	54857	53202	54490	254458	4745759389	0
2009.06.02	54486	54955	53850	54000	299662	4924561789	0
2009.06.03	53999	54001	51643	52087	286041	5424698206	0
2009.06.04	52094	53456	51745	53456	183796	3711143215	0
2009.06.05	53474	54627	53050	53341	212098	3950863017	0
2009.06.08	53340	53905	52483	53630	180483	3111702526	0
2009.06.09	53633	54102	52845	53160	172784	3154155523	0
2009.06.10	53159	54048	52819	53411	220537	3986444803	0
2009.06.12	53411	53936	53143	53558	213768	4070236924	0
2009.06.15	53558	53558	51252	52034	247295	4391843832	0
2009.06.16	52035	52494	51166	51206	196611	3578874043	0
2009.06.17	51197	51197	50265	51046	248862	4098520002	0
2009.06.18	51050	51275	50510	50903	171053	2797526615	0
2009.06.19	50908	51665	50908	51374	171205	3070652786	0
2009.06.22	51367	51367	49411	49495	235547	4033194107	0
2009.06.23	49496	49902	49130	49814	209242	3671165976	0
2009.06.24	49819	50758	49520	49672	203319	4368975982	0
2009.06.25	49668	51515	49327	51515	223530	3934915577	0
2009.06.26	51517	51935	51341	51482	173417	3218309132	0
2009.06.29	51488	52275	51488	52138	171853	2759832735	0
2009.06.30	52143	52435	51102	51465	200950	3537200434	0
2009.07.01	51464	52383	51464	51544	200396	3761132910	0
2009.07.02	51538	51538	50608	51025	162430	2787373973	0
2009.07.03	51026	51167	50915	50935	77311	1119783805	0
2009.07.06	50932	50932	49691	50622	204983	3148823959	0
2009.07.07	50619	50621	49400	49457	198762	4108402786	0
2009.07.08	49460	49846	48456	49178	251789	4043902404	0
2009.07.10	49175	49326	48714	49225	180671	2714938136	0
2009.07.13	49221	49644	48262	49187	205071	3395607550	0
2009.07.14	49186	49647	48573	48873	192182	3779972511	0
2009.07.15	48876	51488	48876	51310	272744	4843380047	0
2009.07.16	51292	52338	50703	51918	217460	3804646089	0
2009.07.17	51918	52352	51736	52072	186550	3192106566	0
2009.07.20	52073	53262	52073	53155	211505	4002084037	0
2009.07.21	53155	53716	52520	53234	218495	3841444355	0
2009.07.22	53232	53664	52543	53073	197192	3816702914	0
2009.07.23	53074	54629	53065	54249	247685	5897023372	0
2009.07.24	54249	54600	54037	54457	183086	3232812460	0
2009.07.27	54458	54886	53943	54549	177567	3036257874	0
2009.07.28	54547	54547	53779	54472	220620	3848155855	0
2009.07.29	54470	54470	53256	53735	220385	3537797785	0
2009.07.30	53735	55083	53735	54478	192833	3498017364	0
2009.07.31	54474	54980	54206	54766	182433	3205166065	0
2009.08.03	54766	56200	54766	55998	212970	3405323396	0
2009.08.04	55998	56656	55727	56038	234002	4163157630	0
2009.08.05	56041	56586	55407	56384	218136	3605622608	0
2009.08.06	56385	56780	55361	55755	220569	3796324500	0
2009.08.07	55758	56644	55758	56330	226338	3710374193	0
2009.08.10	56329	56830	56151	56830	176457	3131126849	0
