<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.11.06	11:00:00	37786	37786	36548	37163	26347	463326740	0
2008.11.06	12:00:00	37158	37183	36624	36707	32768	521902652	0
2008.11.06	13:00:00	36657	36853	36153	36325	31322	434564564	0
2008.11.06	14:00:00	36352	36441	36088	36253	27473	355885974	0
2008.11.06	15:00:00	36258	36258	35651	35850	31518	445752858	0
2008.11.06	16:00:00	35863	35885	35387	35535	35877	567120156	0
2008.11.06	17:00:00	35521	36456	35521	36362	33874	697728254	0
2008.11.07	11:00:00	36362	37285	36351	36426	25786	496878400	0
2008.11.07	12:00:00	36429	37121	36297	36587	31689	551244041	0
2008.11.07	13:00:00	36646	37716	36646	37283	32376	517509103	0
2008.11.07	14:00:00	37261	37325	36858	37233	21212	325152270	0
2008.11.07	15:00:00	37245	37342	36985	37271	21176	307732218	0
2008.11.07	16:00:00	37284	37549	37128	37205	24602	347172545	0
2008.11.07	17:00:00	37233	37253	36660	36665	28882	526616815	0
2008.11.10	11:00:00	36672	38725	36672	38440	24377	505071279	0
2008.11.10	12:00:00	38445	38584	38126	38145	27265	436860167	0
2008.11.10	13:00:00	38190	38334	37913	37951	21250	307484420	0
2008.11.10	14:00:00	37884	38030	36943	37157	30881	440260151	0
2008.11.10	15:00:00	37177	37445	36298	36585	30955	465292015	0
2008.11.10	16:00:00	36566	37089	36480	37089	24446	355658117	0
2008.11.10	17:00:00	37101	37289	36667	36776	27926	501374727	0
2008.11.11	11:00:00	36775	36775	35766	36073	21928	370319727	0
2008.11.11	12:00:00	36087	36153	35499	35611	30540	446305079	0
2008.11.11	13:00:00	35549	36027	35549	35731	21642	292806362	0
2008.11.11	14:00:00	35734	36204	35609	35757	22053	309027615	0
2008.11.11	15:00:00	35726	35937	35570	35937	22010	321614484	0
2008.11.11	16:00:00	35962	36727	35948	36727	27106	437614133	0
2008.11.11	17:00:00	36670	37629	36562	37262	42432	743964222	0
2008.11.12	11:00:00	37261	37261	36326	36451	24670	500071241	0
2008.11.12	12:00:00	36453	36462	35485	35678	47971	843426823	0
2008.11.12	13:00:00	35688	35688	34814	35193	46429	692798955	0
2008.11.12	14:00:00	35215	35215	34792	34988	32694	605653306	0
2008.11.12	15:00:00	34977	35065	34432	34660	36789	510303244	0
2008.11.12	16:00:00	34682	34762	34399	34535	32402	498987534	0
