<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2008.11.06	11:00:00	37786	37786	36548	36719	13380	248386415	0
2008.11.06	11:30:00	36718	37297	36658	37163	12967	214940325	0
2008.11.06	12:00:00	37158	37183	36899	36903	11357	165276418	0
2008.11.06	12:30:00	36842	37111	36624	36707	21411	356626234	0
2008.11.06	13:00:00	36657	36853	36517	36587	15283	209878823	0
2008.11.06	13:30:00	36574	36574	36153	36325	16039	224685741	0
2008.11.06	14:00:00	36352	36441	36093	36227	14007	183802023	0
2008.11.06	14:30:00	36230	36393	36088	36253	13466	172083951	0
2008.11.06	15:00:00	36258	36258	35811	35882	16635	223338797	0
2008.11.06	15:30:00	35833	35906	35651	35850	14883	222414061	0
2008.11.06	16:00:00	35863	35885	35571	35822	16283	275991843	0
2008.11.06	16:30:00	35769	35812	35387	35535	19594	291128313	0
2008.11.06	17:00:00	35521	35919	35521	35613	16613	280865681	0
2008.11.06	17:30:00	35618	36456	35618	36362	17261	416862573	0
2008.11.07	11:00:00	36362	37285	36351	37023	11296	204539092	0
2008.11.07	11:30:00	36875	37166	36426	36426	14490	292339308	0
2008.11.07	12:00:00	36429	36871	36297	36855	10493	180301334	0
2008.11.07	12:30:00	36823	37121	36440	36587	21196	370942707	0
2008.11.07	13:00:00	36646	37716	36646	37453	20122	316403951	0
2008.11.07	13:30:00	37447	37608	37283	37283	12254	201105152	0
2008.11.07	14:00:00	37261	37325	36910	36919	10379	162089875	0
2008.11.07	14:30:00	36915	37257	36858	37233	10833	163062395	0
2008.11.07	15:00:00	37245	37342	37095	37196	10545	159953653	0
2008.11.07	15:30:00	37172	37298	36985	37271	10631	147778565	0
2008.11.07	16:00:00	37284	37523	37280	37523	13219	184214147	0
2008.11.07	16:30:00	37529	37549	37128	37205	11383	162958398	0
2008.11.07	17:00:00	37233	37233	36957	36968	13455	172273885	0
2008.11.07	17:30:00	36979	37253	36660	36665	15427	354342930	0
2008.11.10	11:00:00	36672	38626	36672	38542	11341	252965067	0
2008.11.10	11:30:00	38551	38725	38440	38440	13036	252106212	0
2008.11.10	12:00:00	38445	38445	38327	38406	9132	131291445	0
2008.11.10	12:30:00	38411	38584	38126	38145	18133	305568722	0
2008.11.10	13:00:00	38190	38334	37976	38317	11201	173308100	0
2008.11.10	13:30:00	38332	38332	37913	37951	10049	134176320	0
2008.11.10	14:00:00	37884	38014	37661	37996	12151	162414916	0
2008.11.10	14:30:00	38002	38030	36943	37157	18730	277845235	0
2008.11.10	15:00:00	37177	37445	37073	37073	13087	195836738	0
2008.11.10	15:30:00	37015	37049	36298	36585	17868	269455277	0
2008.11.10	16:00:00	36566	36880	36480	36869	13047	189393307	0
2008.11.10	16:30:00	36891	37089	36681	37089	11399	166264810	0
2008.11.10	17:00:00	37101	37289	36902	36963	14043	213465993	0
2008.11.10	17:30:00	36999	37002	36667	36776	13883	287908734	0
2008.11.11	11:00:00	36775	36775	35766	35874	10518	204917666	0
2008.11.11	11:30:00	35859	36266	35839	36073	11410	165402061	0
2008.11.11	12:00:00	36087	36153	35902	35955	10842	148222199	0
2008.11.11	12:30:00	35980	36013	35499	35611	19698	298082880	0
2008.11.11	13:00:00	35549	36027	35549	35957	12120	177200329	0
2008.11.11	13:30:00	35942	36016	35664	35731	9522	115606033	0
2008.11.11	14:00:00	35734	36033	35609	35896	9897	141598915	0
2008.11.11	14:30:00	35990	36204	35664	35757	12156	167428700	0
2008.11.11	15:00:00	35726	35776	35570	35642	12011	187202787	0
2008.11.11	15:30:00	35666	35937	35666	35937	9999	134411697	0
2008.11.11	16:00:00	35962	36238	35948	36084	11639	203659693	0
2008.11.11	16:30:00	36083	36727	35967	36727	15467	233954440	0
2008.11.11	17:00:00	36670	37497	36562	37497	22438	335662839	0
2008.11.11	17:30:00	37517	37629	37139	37262	19994	408301383	0
2008.11.12	11:00:00	37261	37261	36377	36496	10944	273361470	0
2008.11.12	11:30:00	36513	36638	36326	36451	13726	226709771	0
2008.11.12	12:00:00	36453	36462	35686	35823	21646	334832920	0
2008.11.12	12:30:00	35791	35913	35485	35678	26325	508593903	0
2008.11.12	13:00:00	35688	35688	35034	35034	27058	396151723	0
2008.11.12	13:30:00	35028	35194	34814	35193	19371	296647232	0
2008.11.12	14:00:00	35215	35215	34866	35121	15556	298391857	0
2008.11.12	14:30:00	35138	35210	34792	34988	17138	307261449	0
2008.11.12	15:00:00	34977	35065	34553	34850	17768	235980258	0
2008.11.12	15:30:00	34869	34949	34432	34660	19021	274322986	0
2008.11.12	16:00:00	34682	34755	34412	34529	13998	209261511	0
2008.11.12	16:30:00	34537	34762	34399	34535	18404	289726023	0
2008.11.12	17:00:00	34558	34606	34367	34488	16610	255039314	0
2008.11.12	17:30:00	34480	34717	34221	34374	20693	581007800	0
2008.11.13	11:00:00	34374	34934	34261	34588	12278	161383534	0
2008.11.13	11:30:00	34504	35249	34474	35157	14687	205596071	0
2008.11.13	12:00:00	35192	35445	35192	35396	13339	173029961	0
2008.11.13	12:30:00	35413	35653	34748	34827	22379	342844214	0
2008.11.13	13:00:00	34859	35911	34855	35678	20893	271595254	0
2008.11.13	13:30:00	35693	35726	35209	35284	14100	169987294	0
2008.11.13	14:00:00	35256	35331	35005	35280	11523	159101927	0
2008.11.13	14:30:00	35350	35443	35069	35105	12212	151654891	0
2008.11.13	15:00:00	35155	35155	34146	34212	19452	258305485	0
2008.11.13	15:30:00	34228	34423	33645	33645	20554	267169032	0
2008.11.13	16:00:00	33687	34333	33687	34223	16184	224940449	0
2008.11.13	16:30:00	34305	35538	34305	35212	23911	384310559	0
2008.11.13	17:00:00	35230	35890	35110	35890	20801	306118041	0
2008.11.13	17:30:00	35804	36244	35645	35993	19982	402417104	0
2008.11.14	11:00:00	36003	36391	36003	36153	9049	165155249	0
2008.11.14	11:30:00	36161	36448	35888	36015	11729	219403441	0
2008.11.14	12:00:00	36008	36008	35575	35938	10039	158645675	0
2008.11.14	12:30:00	35911	36679	35883	36529	20568	318338480	0
2008.11.14	13:00:00	36600	36697	35801	35883	13360	181721356	0
2008.11.14	13:30:00	35808	35842	35514	35734	11940	189714351	0
2008.11.14	14:00:00	35731	35748	35462	35644	8842	115134222	0
2008.11.14	14:30:00	35594	35609	35308	35340	9788	122031690	0
2008.11.14	15:00:00	35341	35341	35016	35272	11573	180387465	0
2008.11.14	15:30:00	35265	35541	35185	35488	9695	153798449	0
2008.11.14	16:00:00	35430	35430	35141	35324	10337	156426052	0
2008.11.14	16:30:00	35340	35481	35218	35314	10611	158425287	0
2008.11.14	17:00:00	35248	35727	35189	35550	12799	197228606	0
2008.11.14	17:30:00	35507	35789	35343	35789	12291	394965421	0
2008.11.17	11:00:00	35777	35777	34427	34627	7035	128420681	0
2008.11.17	11:30:00	34618	34854	34580	34731	7182	94878264	0
2008.11.17	12:00:00	34729	35409	34729	35256	7761	98301524	0
2008.11.17	12:30:00	35261	35496	34888	35496	15157	225122710	0
2008.11.17	13:00:00	35488	35702	35043	35229	14609	204691425	0
2008.11.17	13:30:00	35210	35412	35143	35143	8300	110789321	0
2008.11.17	14:00:00	35143	35584	35143	35260	9011	108865454	0
2008.11.17	14:30:00	35244	35783	35169	35769	11288	164065608	0
2008.11.17	15:00:00	35786	36182	35679	36092	16119	242122179	0
2008.11.17	15:30:00	36093	36373	35917	36163	15596	246156156	0
2008.11.17	16:00:00	36132	36145	35909	35982	10295	148856142	0
2008.11.17	16:30:00	35984	36039	35713	35924	11569	180754764	0
2008.11.17	17:00:00	35894	35975	35563	35563	12484	198170047	0
2008.11.17	17:30:00	35626	35808	35494	35717	13146	321438352	0
2008.11.18	11:00:00	35698	35698	34767	35165	10463	169606984	0
2008.11.18	11:30:00	35160	35395	34916	35218	11516	145137459	0
2008.11.18	12:00:00	35246	35346	35213	35283	10816	141895084	0
2008.11.18	12:30:00	35362	35690	35242	35278	19248	285545461	0
2008.11.18	13:00:00	35263	35276	34807	35168	19500	264472968	0
2008.11.18	13:30:00	35148	35165	34860	34883	11233	123704645	0
2008.11.18	14:00:00	34857	34857	34671	34715	11484	130139146	0
2008.11.18	14:30:00	34714	35039	34714	35039	10282	138161465	0
2008.11.18	15:00:00	35023	35064	34746	34806	11808	162010871	0
2008.11.18	15:30:00	34785	34785	34429	34601	14970	205014424	0
2008.11.18	16:00:00	34574	34574	34246	34475	14218	193450754	0
2008.11.18	16:30:00	34470	34488	34239	34432	12663	177646493	0
2008.11.18	17:00:00	34436	34436	34217	34416	14333	191508806	0
2008.11.18	17:30:00	34352	34352	33882	34095	18477	406751799	0
2008.11.19	11:00:00	34098	34274	33996	34164	7793	110030824	0
2008.11.19	11:30:00	34159	34230	33867	33867	11311	138113772	0
2008.11.19	12:00:00	33870	34431	33865	34410	11114	152057180	0
2008.11.19	12:30:00	34434	34786	34236	34362	16742	237267238	0
2008.11.19	13:00:00	34427	34720	34382	34502	13101	157747327	0
2008.11.19	13:30:00	34503	34503	33968	33990	10278	128607246	0
2008.11.19	14:00:00	33988	34041	33643	33655	12287	135253324	0
2008.11.19	14:30:00	33672	33711	33300	33709	13470	169589646	0
2008.11.19	15:00:00	33689	33690	33275	33342	12244	157125611	0
2008.11.19	15:30:00	33361	33669	33342	33510	11333	143716097	0
2008.11.19	16:00:00	33525	33808	33444	33444	12200	162204344	0
2008.11.19	16:30:00	33439	33816	33422	33747	11496	171941261	0
2008.11.19	17:00:00	33740	33831	33499	33576	15967	261526587	0
2008.11.19	17:30:00	33594	33686	33446	33626	11346	167880935	0
2008.11.19	18:00:00	33626	33626	33405	33405	3428	135647482	0
2008.11.21	11:00:00	33403	33403	32016	32276	14361	282364143	0
2008.11.21	11:30:00	32278	32286	32151	32286	12767	202662111	0
2008.11.21	12:00:00	32271	32381	32159	32243	13268	183246218	0
2008.11.21	12:30:00	32225	32250	31603	31681	31347	395039329	0
2008.11.21	13:00:00	31643	31862	31491	31536	19262	265391179	0
2008.11.21	13:30:00	31558	31712	31365	31391	12312	166049222	0
2008.11.21	14:00:00	31404	31628	31197	31540	14630	183717411	0
2008.11.21	14:30:00	31548	31725	31523	31612	11273	133473552	0
2008.11.21	15:00:00	31642	31903	31611	31878	15848	194979273	0
2008.11.21	15:30:00	31822	32132	31822	31923	17749	210131629	0
2008.11.21	16:00:00	31918	31918	31487	31510	16324	214701766	0
2008.11.21	16:30:00	31530	31575	31128	31128	17039	221835785	0
2008.11.21	17:00:00	31110	31424	31081	31385	14528	208492431	0
2008.11.21	17:30:00	31364	31430	31137	31251	18150	382531757	0
2008.11.24	11:00:00	31255	33057	31255	32873	11029	176903625	0
